data,product,store,quanty_sold,value
11/30/2023,drill,error: Field 'my_field' not found,11,56
12/29/2023,paintbrush,error: Field 'my_field' not found,18,20
11/4/2023,nails,error: Field 'my_field' not found,12,46
5/5/2023,saw,error: Field 'my_field' not found,15,18
11/16/2023,nails,error: Field 'my_field' not found,6,18
7/16/2023,screwdriver,error: Field 'my_field' not found,2,72
6/6/2023,tape measure,error: Field 'my_field' not found,4,46
9/28/2023,drill,error: Field 'my_field' not found,15,73
7/29/2023,hammer,error: Field 'my_field' not found,13,79
8/11/2023,drill,error: Field 'my_field' not found,19,25
12/26/2023,paintbrush,error: Field 'my_field' not found,19,76
4/27/2023,saw,error: Field 'my_field' not found,14,5
2/5/2024,level,error: Field 'my_field' not found,16,35
8/6/2023,hammer,error: Field 'my_field' not found,18,51
7/2/2023,level,error: Field 'my_field' not found,5,13
8/28/2023,level,error: Field 'my_field' not found,19,26
7/10/2023,screwdriver,error: Field 'my_field' not found,4,3
1/26/2024,nails,error: Field 'my_field' not found,9,49
1/3/2024,nails,error: Field 'my_field' not found,19,56
8/25/2023,pliers,error: Field 'my_field' not found,2,96
10/20/2023,level,error: Field 'my_field' not found,4,28
3/27/2023,pliers,error: Field 'my_field' not found,2,10
8/10/2023,screwdriver,error: Field 'my_field' not found,15,19
8/19/2023,tape measure,error: Field 'my_field' not found,20,85
6/26/2023,nails,error: Field 'my_field' not found,9,55
11/7/2023,saw,error: Field 'my_field' not found,13,73
2/5/2024,saw,error: Field 'my_field' not found,9,78
1/21/2024,nails,error: Field 'my_field' not found,7,2
8/26/2023,level,error: Field 'my_field' not found,10,39
1/19/2024,drill,error: Field 'my_field' not found,14,25
4/30/2023,drill,error: Field 'my_field' not found,9,38
10/10/2023,hammer,error: Field 'my_field' not found,18,7
11/1/2023,paintbrush,error: Field 'my_field' not found,13,47
4/11/2023,pliers,error: Field 'my_field' not found,14,47
12/20/2023,tape measure,error: Field 'my_field' not found,20,68
3/14/2023,drill,error: Field 'my_field' not found,6,32
2/24/2023,pliers,error: Field 'my_field' not found,12,65
4/23/2023,tape measure,error: Field 'my_field' not found,3,7
6/25/2023,drill,error: Field 'my_field' not found,19,1
10/1/2023,hammer,error: Field 'my_field' not found,11,62
8/30/2023,saw,error: Field 'my_field' not found,1,64
9/3/2023,nails,error: Field 'my_field' not found,1,23
2/15/2024,drill,error: Field 'my_field' not found,18,31
3/17/2023,saw,error: Field 'my_field' not found,8,23
11/3/2023,drill,error: Field 'my_field' not found,4,65
1/6/2024,saw,error: Field 'my_field' not found,2,62
11/3/2023,drill,error: Field 'my_field' not found,7,55
6/14/2023,drill,error: Field 'my_field' not found,6,86
1/2/2024,paintbrush,error: Field 'my_field' not found,15,53
10/29/2023,nails,error: Field 'my_field' not found,18,63
11/3/2023,paintbrush,error: Field 'my_field' not found,9,3
4/16/2023,tape measure,error: Field 'my_field' not found,2,83
2/24/2023,saw,error: Field 'my_field' not found,19,52
7/2/2023,pliers,error: Field 'my_field' not found,5,74
10/19/2023,paintbrush,error: Field 'my_field' not found,13,11
5/15/2023,drill,error: Field 'my_field' not found,16,87
9/21/2023,pliers,error: Field 'my_field' not found,9,96
9/24/2023,saw,error: Field 'my_field' not found,18,22
6/4/2023,level,error: Field 'my_field' not found,18,16
6/3/2023,tape measure,error: Field 'my_field' not found,14,84
4/26/2023,level,error: Field 'my_field' not found,13,36
8/4/2023,hammer,error: Field 'my_field' not found,3,97
5/17/2023,level,error: Field 'my_field' not found,1,63
5/5/2023,pliers,error: Field 'my_field' not found,20,68
11/3/2023,pliers,error: Field 'my_field' not found,16,77
2/9/2023,tape measure,error: Field 'my_field' not found,15,49
10/25/2023,level,error: Field 'my_field' not found,1,13
7/23/2023,saw,error: Field 'my_field' not found,3,90
2/17/2023,saw,error: Field 'my_field' not found,11,9
1/1/2024,saw,error: Field 'my_field' not found,11,65
8/3/2023,nails,error: Field 'my_field' not found,14,54
8/28/2023,drill,error: Field 'my_field' not found,4,85
6/5/2023,hammer,error: Field 'my_field' not found,14,34
7/19/2023,tape measure,error: Field 'my_field' not found,1,53
3/4/2023,saw,error: Field 'my_field' not found,8,24
10/27/2023,drill,error: Field 'my_field' not found,9,87
4/27/2023,tape measure,error: Field 'my_field' not found,5,61
5/30/2023,tape measure,error: Field 'my_field' not found,5,5
8/27/2023,saw,error: Field 'my_field' not found,8,11
7/13/2023,pliers,error: Field 'my_field' not found,7,34
10/11/2023,wrench,error: Field 'my_field' not found,19,41
4/7/2023,level,error: Field 'my_field' not found,17,77
4/24/2023,paintbrush,error: Field 'my_field' not found,11,86
2/16/2024,nails,error: Field 'my_field' not found,13,27
5/23/2023,nails,error: Field 'my_field' not found,14,92
6/4/2023,tape measure,error: Field 'my_field' not found,1,84
2/2/2024,saw,error: Field 'my_field' not found,8,30
5/30/2023,wrench,error: Field 'my_field' not found,13,56
11/24/2023,nails,error: Field 'my_field' not found,8,94
6/22/2023,saw,error: Field 'my_field' not found,17,66
11/24/2023,pliers,error: Field 'my_field' not found,16,29
2/16/2023,drill,error: Field 'my_field' not found,7,48
10/24/2023,pliers,error: Field 'my_field' not found,14,90
4/12/2023,wrench,error: Field 'my_field' not found,17,58
11/7/2023,screwdriver,error: Field 'my_field' not found,20,11
5/20/2023,level,error: Field 'my_field' not found,18,97
7/13/2023,nails,error: Field 'my_field' not found,17,96
2/18/2023,saw,error: Field 'my_field' not found,10,5
7/11/2023,drill,error: Field 'my_field' not found,2,100
5/24/2023,level,error: Field 'my_field' not found,20,11
8/2/2023,pliers,error: Field 'my_field' not found,9,30
10/18/2023,tape measure,error: Field 'my_field' not found,8,20
11/11/2023,level,error: Field 'my_field' not found,11,39
8/5/2023,tape measure,error: Field 'my_field' not found,13,87
3/6/2023,nails,error: Field 'my_field' not found,13,14
9/25/2023,paintbrush,error: Field 'my_field' not found,20,59
1/26/2024,screwdriver,error: Field 'my_field' not found,18,24
7/11/2023,drill,error: Field 'my_field' not found,5,73
7/28/2023,level,error: Field 'my_field' not found,7,99
2/2/2024,wrench,error: Field 'my_field' not found,10,98
8/29/2023,hammer,error: Field 'my_field' not found,17,93
8/2/2023,screwdriver,error: Field 'my_field' not found,5,13
2/24/2023,nails,error: Field 'my_field' not found,8,46
6/18/2023,tape measure,error: Field 'my_field' not found,16,57
10/1/2023,tape measure,error: Field 'my_field' not found,8,47
2/24/2023,drill,error: Field 'my_field' not found,6,99
2/29/2024,paintbrush,error: Field 'my_field' not found,20,92
2/13/2024,tape measure,error: Field 'my_field' not found,15,94
